split,model,horizon_hours,constraint,seeds,mean,standard_deviation,minimum,maximum
internal_test,ridge_var,12,pressure_order,1,0.58331713007972,0.0,0.58331713007972,0.58331713007972
internal_test,ridge_var,24,pressure_order,1,0.0,0.0,0.0,0.0
internal_test,rssm,1,FiO2_bounds,1,0.0194439043359906,0.0,0.0194439043359906,0.0194439043359906
internal_test,rssm,1,O2Sat_bounds,1,23.81878281158857,0.0,23.81878281158857,23.81878281158857
internal_test,rssm,1,SaO2_bounds,1,7.369239743340462,0.0,7.369239743340462,7.369239743340462
internal_test,rssm,1,emitted_FiO2_bounds,1,0.408321991055804,0.0,0.408321991055804,0.408321991055804
internal_test,rssm,1,emitted_O2Sat_bounds,1,26.570095275131248,0.0,26.570095275131248,26.570095275131248
internal_test,rssm,1,emitted_SaO2_bounds,1,150.2624927085359,0.0,150.2624927085359,150.2624927085359
internal_test,rssm,1,emitted_pressure_order,1,1.1471903558234493,0.0,1.1471903558234493,1.1471903558234493
internal_test,rssm,1,pressure_order,1,24.159051137468403,0.0,24.159051137468403,24.159051137468403
internal_test,rssm,3,FiO2_bounds,1,0.0486097608399766,0.0,0.0486097608399766,0.0486097608399766
internal_test,rssm,3,O2Sat_bounds,1,19.95916780089442,0.0,19.95916780089442,19.95916780089442
internal_test,rssm,3,SaO2_bounds,1,20.804977639510017,0.0,20.804977639510017,20.804977639510017
internal_test,rssm,3,emitted_FiO2_bounds,1,0.3305463737118413,0.0,0.3305463737118413,0.3305463737118413
internal_test,rssm,3,emitted_O2Sat_bounds,1,20.095275131246353,0.0,20.095275131246353,20.095275131246353
internal_test,rssm,3,emitted_SaO2_bounds,1,148.69725840948863,0.0,148.69725840948863,148.69725840948863
internal_test,rssm,3,emitted_pressure_order,1,0.6610927474236826,0.0,0.6610927474236826,0.6610927474236826
internal_test,rssm,3,pressure_order,1,9.790005833171302,0.0,9.790005833171302,9.790005833171302
internal_test,rssm,6,FiO2_bounds,1,0.116663426015944,0.0,0.116663426015944,0.116663426015944
internal_test,rssm,6,O2Sat_bounds,1,14.932918530040832,0.0,14.932918530040832,14.932918530040832
internal_test,rssm,6,SaO2_bounds,1,39.45168189772507,0.0,39.45168189772507,39.45168189772507
internal_test,rssm,6,emitted_FiO2_bounds,1,0.204160995527902,0.0,0.204160995527902,0.204160995527902
internal_test,rssm,6,emitted_O2Sat_bounds,1,15.059303908224772,0.0,15.059303908224772,15.059303908224772
internal_test,rssm,6,emitted_SaO2_bounds,1,150.90414155162355,0.0,150.90414155162355,150.90414155162355
internal_test,rssm,6,emitted_pressure_order,1,0.408321991055804,0.0,0.408321991055804,0.408321991055804
internal_test,rssm,6,pressure_order,1,5.094302936029555,0.0,5.094302936029555,5.094302936029555
internal_test,rssm,12,FiO2_bounds,1,0.174995139023916,0.0,0.174995139023916,0.174995139023916
internal_test,rssm,12,O2Sat_bounds,1,12.891308574761812,0.0,12.891308574761812,12.891308574761812
internal_test,rssm,12,SaO2_bounds,1,67.50923585455959,0.0,67.50923585455959,67.50923585455959
internal_test,rssm,12,emitted_FiO2_bounds,1,0.1652731868559206,0.0,0.1652731868559206,0.1652731868559206
internal_test,rssm,12,emitted_O2Sat_bounds,1,12.910752479097804,0.0,12.910752479097804,12.910752479097804
internal_test,rssm,12,emitted_SaO2_bounds,1,151.75967334240715,0.0,151.75967334240715,151.75967334240715
internal_test,rssm,12,emitted_pressure_order,1,0.2236048998638926,0.0,0.2236048998638926,0.2236048998638926
internal_test,rssm,12,pressure_order,1,3.704063776006222,0.0,3.704063776006222,3.704063776006222
internal_test,rssm,24,FiO2_bounds,1,0.1069414738479486,0.0,0.1069414738479486,0.1069414738479486
internal_test,rssm,24,O2Sat_bounds,1,10.480264437098969,0.0,10.480264437098969,10.480264437098969
internal_test,rssm,24,SaO2_bounds,1,105.22068831421348,0.0,105.22068831421348,105.22068831421348
internal_test,rssm,24,emitted_FiO2_bounds,1,0.087497569511958,0.0,0.087497569511958,0.087497569511958
internal_test,rssm,24,emitted_O2Sat_bounds,1,10.421932724090995,0.0,10.421932724090995,10.421932724090995
internal_test,rssm,24,emitted_SaO2_bounds,1,150.49581956056775,0.0,150.49581956056775,150.49581956056775
internal_test,rssm,24,emitted_pressure_order,1,0.174995139023916,0.0,0.174995139023916,0.174995139023916
internal_test,rssm,24,pressure_order,1,2.7902002722146606,0.0,2.7902002722146606,2.7902002722146606
internal_test,transformer,1,FiO2_bounds,1,3.004083219910558,0.0,3.004083219910558,3.004083219910558
internal_test,transformer,1,O2Sat_bounds,1,131.32412988528097,0.0,131.32412988528097,131.32412988528097
internal_test,transformer,1,SaO2_bounds,1,10.37332296325102,0.0,10.37332296325102,10.37332296325102
internal_test,transformer,1,emitted_FiO2_bounds,1,25.004860976083997,0.0,25.004860976083997,25.004860976083997
internal_test,transformer,1,emitted_O2Sat_bounds,1,144.82792144662648,0.0,144.82792144662648,144.82792144662648
internal_test,transformer,1,emitted_SaO2_bounds,1,198.05560956640093,0.0,198.05560956640093,198.05560956640093
internal_test,transformer,1,emitted_pressure_order,1,137.99338907252576,0.0,137.99338907252576,137.99338907252576
internal_test,transformer,1,pressure_order,1,89.84055998444488,0.0,89.84055998444488,89.84055998444488
internal_test,transformer,3,FiO2_bounds,1,5.891503013805172,0.0,5.891503013805172,5.891503013805172
internal_test,transformer,3,O2Sat_bounds,1,154.3846004277659,0.0,154.3846004277659,154.3846004277659
internal_test,transformer,3,SaO2_bounds,1,25.12152440209994,0.0,25.12152440209994,25.12152440209994
internal_test,transformer,3,emitted_FiO2_bounds,1,25.140968306435933,0.0,25.140968306435933,25.140968306435933
internal_test,transformer,3,emitted_O2Sat_bounds,1,156.72759090025278,0.0,156.72759090025278,156.72759090025278
internal_test,transformer,3,emitted_SaO2_bounds,1,196.73342407155357,0.0,196.73342407155357,196.73342407155357
internal_test,transformer,3,emitted_pressure_order,1,159.1386350379156,0.0,159.1386350379156,159.1386350379156
internal_test,transformer,3,pressure_order,1,110.59692786311491,0.0,110.59692786311491,110.59692786311491
internal_test,transformer,6,FiO2_bounds,1,6.815088469764729,0.0,6.815088469764729,6.815088469764729
internal_test,transformer,6,O2Sat_bounds,1,157.95255687342018,0.0,157.95255687342018,157.95255687342018
internal_test,transformer,6,SaO2_bounds,1,39.39335018471709,0.0,39.39335018471709,39.39335018471709
internal_test,transformer,6,emitted_FiO2_bounds,1,24.674314602372156,0.0,24.674314602372156,24.674314602372156
internal_test,transformer,6,emitted_O2Sat_bounds,1,157.9428349212522,0.0,157.9428349212522,157.9428349212522
internal_test,transformer,6,emitted_SaO2_bounds,1,192.0571650787478,0.0,192.0571650787478,192.0571650787478
internal_test,transformer,6,emitted_pressure_order,1,168.15088469764729,0.0,168.15088469764729,168.15088469764729
internal_test,transformer,6,pressure_order,1,121.42718257826172,0.0,121.42718257826172,121.42718257826172
internal_test,transformer,12,FiO2_bounds,1,7.553956834532374,0.0,7.553956834532374,7.553956834532374
internal_test,transformer,12,O2Sat_bounds,1,163.1149134746257,0.0,163.1149134746257,163.1149134746257
internal_test,transformer,12,SaO2_bounds,1,56.34843476570095,0.0,56.34843476570095,56.34843476570095
internal_test,transformer,12,emitted_FiO2_bounds,1,24.382656037332296,0.0,24.382656037332296,24.382656037332296
