split,model,seed,horizon_hours,constraint,violations_per_1000_states
external_test,rssm,20260912,3,emitted_FiO2_bounds,0.3021346469622332
external_test,rssm,20260912,3,emitted_O2Sat_bounds,10.016420361247947
external_test,rssm,20260912,3,emitted_SaO2_bounds,134.78817733990147
external_test,rssm,20260912,3,emitted_pressure_order,0.6568144499178982
external_test,rssm,20260912,3,pressure_order,17.119868637110017
external_test,rssm,20260912,6,FiO2_bounds,0.3152709359605911
external_test,rssm,20260912,6,O2Sat_bounds,8.71264367816092
external_test,rssm,20260912,6,SaO2_bounds,34.34811165845649
external_test,rssm,20260912,6,emitted_FiO2_bounds,0.2101806239737274
external_test,rssm,20260912,6,emitted_O2Sat_bounds,8.67487684729064
external_test,rssm,20260912,6,emitted_SaO2_bounds,135.67980295566502
external_test,rssm,20260912,6,emitted_pressure_order,0.5057471264367817
external_test,rssm,20260912,6,pressure_order,7.152709359605911
external_test,rssm,20260912,12,FiO2_bounds,0.2364532019704433
external_test,rssm,20260912,12,O2Sat_bounds,8.266009852216749
external_test,rssm,20260912,12,SaO2_bounds,61.39244663382594
external_test,rssm,20260912,12,emitted_FiO2_bounds,0.1970443349753694
external_test,rssm,20260912,12,emitted_O2Sat_bounds,8.305418719211822
external_test,rssm,20260912,12,emitted_SaO2_bounds,140.7471264367816
external_test,rssm,20260912,12,emitted_pressure_order,0.2413793103448276
external_test,rssm,20260912,12,pressure_order,3.893267651888342
external_test,rssm,20260912,24,FiO2_bounds,0.1313628899835796
external_test,rssm,20260912,24,O2Sat_bounds,8.635467980295566
external_test,rssm,20260912,24,SaO2_bounds,99.39737274220032
external_test,rssm,20260912,24,emitted_FiO2_bounds,0.1100164203612479
external_test,rssm,20260912,24,emitted_O2Sat_bounds,8.64039408866995
external_test,rssm,20260912,24,emitted_SaO2_bounds,147.18062397372742
external_test,rssm,20260912,24,emitted_pressure_order,0.1756978653530377
external_test,rssm,20260912,24,pressure_order,2.9211822660098523
internal_test,rssm,20260912,1,FiO2_bounds,0.0194439043359906
internal_test,rssm,20260912,1,O2Sat_bounds,23.81878281158857
internal_test,rssm,20260912,1,SaO2_bounds,7.369239743340462
internal_test,rssm,20260912,1,emitted_FiO2_bounds,0.408321991055804
internal_test,rssm,20260912,1,emitted_O2Sat_bounds,26.570095275131248
internal_test,rssm,20260912,1,emitted_SaO2_bounds,150.2624927085359
internal_test,rssm,20260912,1,emitted_pressure_order,1.1471903558234493
internal_test,rssm,20260912,1,pressure_order,24.159051137468403
internal_test,rssm,20260912,3,FiO2_bounds,0.0486097608399766
internal_test,rssm,20260912,3,O2Sat_bounds,19.95916780089442
internal_test,rssm,20260912,3,SaO2_bounds,20.804977639510017
internal_test,rssm,20260912,3,emitted_FiO2_bounds,0.3305463737118413
internal_test,rssm,20260912,3,emitted_O2Sat_bounds,20.095275131246353
internal_test,rssm,20260912,3,emitted_SaO2_bounds,148.69725840948863
internal_test,rssm,20260912,3,emitted_pressure_order,0.6610927474236826
internal_test,rssm,20260912,3,pressure_order,9.790005833171302
internal_test,rssm,20260912,6,FiO2_bounds,0.116663426015944
internal_test,rssm,20260912,6,O2Sat_bounds,14.932918530040832
internal_test,rssm,20260912,6,SaO2_bounds,39.45168189772507
internal_test,rssm,20260912,6,emitted_FiO2_bounds,0.204160995527902
internal_test,rssm,20260912,6,emitted_O2Sat_bounds,15.059303908224772
internal_test,rssm,20260912,6,emitted_SaO2_bounds,150.90414155162355
internal_test,rssm,20260912,6,emitted_pressure_order,0.408321991055804
internal_test,rssm,20260912,6,pressure_order,5.094302936029555
internal_test,rssm,20260912,12,FiO2_bounds,0.174995139023916
internal_test,rssm,20260912,12,O2Sat_bounds,12.891308574761812
internal_test,rssm,20260912,12,SaO2_bounds,67.50923585455959
internal_test,rssm,20260912,12,emitted_FiO2_bounds,0.1652731868559206
internal_test,rssm,20260912,12,emitted_O2Sat_bounds,12.910752479097804
internal_test,rssm,20260912,12,emitted_SaO2_bounds,151.75967334240715
internal_test,rssm,20260912,12,emitted_pressure_order,0.2236048998638926
internal_test,rssm,20260912,12,pressure_order,3.704063776006222
internal_test,rssm,20260912,24,FiO2_bounds,0.1069414738479486
internal_test,rssm,20260912,24,O2Sat_bounds,10.480264437098969
internal_test,rssm,20260912,24,SaO2_bounds,105.22068831421348
internal_test,rssm,20260912,24,emitted_FiO2_bounds,0.087497569511958
internal_test,rssm,20260912,24,emitted_O2Sat_bounds,10.421932724090995
internal_test,rssm,20260912,24,emitted_SaO2_bounds,150.49581956056775
internal_test,rssm,20260912,24,emitted_pressure_order,0.174995139023916
internal_test,rssm,20260912,24,pressure_order,2.7902002722146606
