model,model_label,variable,observed_targets,nmae_mean,nmae_seed_sd,mae_original_mean,mae_original_seed_sd
rssm,State-space model,SBP,27367,0.6594796596422139,0.020735678976384952,19.124910129624205,0.6013346903151644
transformer,Masked Transformer,SBP,27367,0.5268014766355651,0.004907592312591748,15.277242822431386,0.14232017706516067
global_median,Global median,SaO2,477,0.4311530398322848,0.0,2.1557651991614244,0.0
grud,GRU-D-style,SaO2,477,1.1857962374948356,0.04838159504822847,5.928981187474177,0.24190797524114271
hourly_median,Hourly median,SaO2,477,0.4585324947589099,0.0,2.2926624737945493,0.0
locf,LOCF,SaO2,477,0.4368553459119498,0.0,2.184276729559749,0.0
ridge_var,Ridge VAR,SaO2,477,0.4873704833022138,0.0,2.436852416511069,0.0
rssm,State-space model,SaO2,477,0.5030596824163723,0.060503312115904456,2.5152984120818616,0.3025165605795222
transformer,Masked Transformer,SaO2,477,1.196618366141489,0.07397634792063269,5.983091830707446,0.3698817396031632
global_median,Global median,Temp,10813,0.6292484814378362,0.0,0.5914935725515645,0.0
grud,GRU-D-style,Temp,10813,0.5436486224489627,0.006187340681493058,0.5110297051020238,0.005816100240603451
hourly_median,Hourly median,Temp,10813,0.6401425785746552,0.0,0.6017340238601744,0.0
locf,LOCF,Temp,10813,0.5550548886190975,0.0,0.5217515953019504,0.0
ridge_var,Ridge VAR,Temp,10813,0.5340892487650862,0.0,0.5020438938391798,0.0
rssm,State-space model,Temp,10813,0.6204207103214706,0.01362583124044718,0.5831954677021811,0.012808281366020306
transformer,Masked Transformer,Temp,10813,0.5432296111097965,0.011237353825871012,0.5106358344432074,0.010563112596318744
global_median,Global median,WBC,1412,0.6897480124280362,0.0,4.276437677053825,0.0
grud,GRU-D-style,WBC,1412,0.46523287325158247,0.008270895950944634,2.8844438141598117,0.05127955489585667
hourly_median,Hourly median,WBC,1412,0.6861898016997178,0.0,4.254376770538251,0.0
locf,LOCF,WBC,1412,0.4179041396326413,0.0,2.5910056657223763,0.0
ridge_var,Ridge VAR,WBC,1412,0.4158474716215048,0.0,2.57825432405333,0.0
rssm,State-space model,WBC,1412,0.6992123838875537,0.006779872917155429,4.335116780102834,0.04203521208636375
transformer,Masked Transformer,WBC,1412,0.46510044599780365,0.01005517104152186,2.883622765186383,0.062342060457435566
global_median,Global median,pH,552,0.7077294685990347,0.0,0.063695652173913,0.0
grud,GRU-D-style,pH,552,0.6632381415841561,0.007932071514097515,0.059691432742573956,0.0007138864362687719
hourly_median,Hourly median,pH,552,0.6969605475040269,0.0,0.0627264492753623,0.0
locf,LOCF,pH,552,0.735708534621579,0.0,0.066213768115942,0.0
ridge_var,Ridge VAR,pH,552,0.6384764502096477,0.0,0.0574628805188682,0.0
rssm,State-space model,pH,552,0.6981625731337641,0.005200492818356235,0.06283463158203866,0.00046804435365205516
transformer,Masked Transformer,pH,552,0.6583484473381785,0.0071871814298348925,0.05925136026043597,0.00064684632868514
