model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,constraint,violations_per_1000_states
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,SaO2_bounds,18.27564894932015
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_FiO2_bounds,14.684796044499382
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_O2Sat_bounds,127.16934487021014
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_SaO2_bounds,192.80593325092707
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_pressure_order,109.87639060568603
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,pressure_order,110.716934487021
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,FiO2_bounds,3.5970333745364647
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,O2Sat_bounds,126.81705809641532
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,SaO2_bounds,30.87762669962917
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_FiO2_bounds,13.92459826946848
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_O2Sat_bounds,127.58343634116193
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_SaO2_bounds,189.9752781211372
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_pressure_order,123.39925834363412
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,pressure_order,128.35599505562422
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,FiO2_bounds,4.5364647713226205
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,O2Sat_bounds,124.87021013597034
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,SaO2_bounds,50.203955500618044
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_FiO2_bounds,13.739184177997528
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_O2Sat_bounds,125.24103831891223
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_SaO2_bounds,185.7911001236094
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_pressure_order,143.51668726823237
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,pressure_order,147.97280593325092
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,FiO2_bounds,5.531520395550062
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,O2Sat_bounds,124.28924598269468
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,SaO2_bounds,77.24969097651422
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_FiO2_bounds,13.294190358467244
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_O2Sat_bounds,125.70457354758962
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_SaO2_bounds,183.23856613102595
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_pressure_order,164.14709517923362
grud,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,pressure_order,169.10383189122373
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,FiO2_bounds,2.1013597033374536
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,O2Sat_bounds,113.00988875154512
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,SaO2_bounds,8.374536464771323
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_FiO2_bounds,35.012360939431396
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_O2Sat_bounds,127.41038318912237
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_SaO2_bounds,211.9901112484549
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,emitted_pressure_order,106.05686032138442
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,pressure_order,96.9406674907293
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,FiO2_bounds,4.017305315203956
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,O2Sat_bounds,135.56860321384426
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,SaO2_bounds,21.600741656365884
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_FiO2_bounds,38.4734239802225
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_O2Sat_bounds,138.1025957972806
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_SaO2_bounds,207.3238566131026
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,emitted_pressure_order,144.12855377008654
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,pressure_order,133.62175525339927
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,FiO2_bounds,6.211372064276885
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,O2Sat_bounds,140.45117428924598
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,SaO2_bounds,37.268232385661314
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_FiO2_bounds,42.52163164400494
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_O2Sat_bounds,139.9876390605686
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_SaO2_bounds,202.13226205191594
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,emitted_pressure_order,168.04697156983931
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,pressure_order,156.73671199011125
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,FiO2_bounds,8.436341161928306
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,O2Sat_bounds,150.8034610630408
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,SaO2_bounds,55.96415327564895
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_FiO2_bounds,42.243510506798515
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_O2Sat_bounds,150.8034610630408
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_SaO2_bounds,186.68108776266996
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,emitted_pressure_order,198.54758961681088
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,12,pressure_order,184.17799752781212
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,FiO2_bounds,10.754017305315204
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,O2Sat_bounds,163.22620519159457
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,SaO2_bounds,79.17181705809641
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_FiO2_bounds,38.040791100123606
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_O2Sat_bounds,161.77379480840543
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_SaO2_bounds,175.12360939431397
transformer,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,emitted_pressure_order,234.95055624227442
