model,seed,trajectory_samples,patients_requested,patient_subset_sha256,horizon_hours,metric,value
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_nmae,0.5254734529174572
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_crps,0.383084144191466
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,coverage_90,0.925191051618858
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,mean_interval_width_scaled,2.5227030240187074
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,patient_nll,1.0675014518795851
transformer,20260912,100,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,24,mask_brier,0.0677962744267174
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_nmae,0.5009247460098293
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_crps,0.39156923323013854
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,coverage_90,0.5624569317533019
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,mean_interval_width_scaled,0.9541361875589774
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,patient_nll,2.5194983417353485
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,1,mask_brier,0.0712043620785794
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_nmae,0.5513841104273732
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_crps,0.4347122209042035
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,coverage_90,0.5247490134433089
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,mean_interval_width_scaled,0.9773231990136425
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,patient_nll,2.7222566286229886
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,3,mask_brier,0.06708064618724094
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,patient_nmae,0.594657745041273
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,patient_crps,0.4747391288686127
rssm,20260912,20,1000,6bd42f1d068fec5af148f6983a19be58e6fecf16578af837cddb4a65dab59025,6,coverage_90,0.5069439246539891
