evaluation,split,model,seed,horizon_hours,metric,value
zero_shot,external_test,grud,20260913,12,patient_nmae,0.5217840792252291
zero_shot,external_test,grud,20260913,12,patient_crps,0.38537195638321053
zero_shot,external_test,grud,20260913,12,coverage_90,0.8531693315672471
zero_shot,external_test,grud,20260913,12,coverage_error_90,0.046830668432752964
zero_shot,external_test,grud,20260913,12,mean_interval_width_scaled,1.9701363849300382
zero_shot,external_test,grud,20260913,12,patient_nll,1.1009807249814374
zero_shot,external_test,grud,20260913,12,mask_brier,0.05893757250653095
zero_shot,external_test,grud,20260913,24,patient_nmae,0.5624462118682542
zero_shot,external_test,grud,20260913,24,patient_crps,0.415022382243589
zero_shot,external_test,grud,20260913,24,coverage_90,0.8525142283203064
zero_shot,external_test,grud,20260913,24,coverage_error_90,0.04748577167969359
zero_shot,external_test,grud,20260913,24,mean_interval_width_scaled,2.1094077173084926
zero_shot,external_test,grud,20260913,24,patient_nll,1.1883810023455492
zero_shot,external_test,grud,20260913,24,mask_brier,0.06335464248015858
recalibrated,external_test,grud,20260913,1,patient_nmae,0.37807037099482205
recalibrated,external_test,grud,20260913,1,patient_crps,0.28894539071148406
recalibrated,external_test,grud,20260913,1,coverage_90,0.9007130770526559
recalibrated,external_test,grud,20260913,1,coverage_error_90,0.0007130770526558861
recalibrated,external_test,grud,20260913,1,mean_interval_width_scaled,1.6979640370285256
recalibrated,external_test,grud,20260913,1,patient_nll,0.7861476649987256
recalibrated,external_test,grud,20260913,1,mask_brier,0.06225253020795044
recalibrated,external_test,grud,20260913,3,patient_nmae,0.43743149831632955
recalibrated,external_test,grud,20260913,3,patient_crps,0.32826793000462473
recalibrated,external_test,grud,20260913,3,coverage_90,0.8802401551385761
recalibrated,external_test,grud,20260913,3,coverage_error_90,0.019759844861423903
recalibrated,external_test,grud,20260913,3,mean_interval_width_scaled,1.8146133210878017
recalibrated,external_test,grud,20260913,3,patient_nll,0.8992062541340006
recalibrated,external_test,grud,20260913,3,mask_brier,0.05871222397886926
recalibrated,external_test,grud,20260913,6,patient_nmae,0.4834406936410381
recalibrated,external_test,grud,20260913,6,patient_crps,0.3624107077232286
recalibrated,external_test,grud,20260913,6,coverage_90,0.8907643137872321
recalibrated,external_test,grud,20260913,6,coverage_error_90,0.009235686212767935
recalibrated,external_test,grud,20260913,6,mean_interval_width_scaled,2.0839993842817495
recalibrated,external_test,grud,20260913,6,patient_nll,1.008427430630545
recalibrated,external_test,grud,20260913,6,mask_brier,0.059265925815294815
recalibrated,external_test,grud,20260913,12,patient_nmae,0.5217840799200922
recalibrated,external_test,grud,20260913,12,patient_crps,0.3886007201731008
recalibrated,external_test,grud,20260913,12,coverage_90,0.8862875154549628
recalibrated,external_test,grud,20260913,12,coverage_error_90,0.013712484545037262
recalibrated,external_test,grud,20260913,12,mean_interval_width_scaled,2.1933020402992627
recalibrated,external_test,grud,20260913,12,patient_nll,1.0877923754296766
recalibrated,external_test,grud,20260913,12,mask_brier,0.05893757250653095
recalibrated,external_test,grud,20260913,24,patient_nmae,0.5624462120413832
recalibrated,external_test,grud,20260913,24,patient_crps,0.41853365979143203
recalibrated,external_test,grud,20260913,24,coverage_90,0.8862571168147706
recalibrated,external_test,grud,20260913,24,coverage_error_90,0.013742883185229426
recalibrated,external_test,grud,20260913,24,mean_interval_width_scaled,2.359531946031413
recalibrated,external_test,grud,20260913,24,patient_nll,1.172599321255572
recalibrated,external_test,grud,20260913,24,mask_brier,0.06335464248015858
zero_shot,internal_test,grud,20260914,1,patient_nmae,0.35216892263315974
zero_shot,internal_test,grud,20260914,1,patient_crps,0.26479775062255073
zero_shot,internal_test,grud,20260914,1,coverage_90,0.8697203027798476
zero_shot,internal_test,grud,20260914,1,coverage_error_90,0.030279697220152446
zero_shot,internal_test,grud,20260914,1,mean_interval_width_scaled,1.4175601947334127
zero_shot,internal_test,grud,20260914,1,patient_nll,0.6402471451872825
zero_shot,internal_test,grud,20260914,1,mask_brier,0.07663398054533468
zero_shot,internal_test,grud,20260914,3,patient_nmae,0.412199215585776
zero_shot,internal_test,grud,20260914,3,patient_crps,0.30686189122671187
zero_shot,internal_test,grud,20260914,3,coverage_90,0.8595525474584228
zero_shot,internal_test,grud,20260914,3,coverage_error_90,0.04044745254157722
zero_shot,internal_test,grud,20260914,3,mean_interval_width_scaled,1.5978621700725077
zero_shot,internal_test,grud,20260914,3,patient_nll,0.8243807648620187
zero_shot,internal_test,grud,20260914,3,mask_brier,0.0771398711750808
zero_shot,internal_test,grud,20260914,6,patient_nmae,0.4535752973971002
zero_shot,internal_test,grud,20260914,6,patient_crps,0.3352967668090684
zero_shot,internal_test,grud,20260914,6,coverage_90,0.8536107180630377
zero_shot,internal_test,grud,20260914,6,coverage_error_90,0.046389281936962345
zero_shot,internal_test,grud,20260914,6,mean_interval_width_scaled,1.7282075105648795
zero_shot,internal_test,grud,20260914,6,patient_nll,0.9443946289296796
zero_shot,internal_test,grud,20260914,6,mask_brier,0.07461489375527053
zero_shot,internal_test,grud,20260914,12,patient_nmae,0.4992676275286896
zero_shot,internal_test,grud,20260914,12,patient_crps,0.365949674252068
